donor,recipient,commitment_amount_usd_constant,coalesced_purpose_name
Japan,Thailand,15881,Vocational training
Japan,Thailand,215364,Health policy and administrative management
Japan,Thailand,109014,Basic health care
Japan,Thailand,61444,Water supply and sanitation - large systems
Japan,Thailand,140228,Waste management/disposal
Japan,Thailand,526731,Social/welfare services
Japan,Thailand,61444,Employment policy and admin. mgmt.
Japan,Thailand,47606,Housing policy and admin. management
Japan,Thailand,353258,Social/ welfare services
Japan,Thailand,61444,Rail transport
Japan,Thailand,15881,Energy policy and admin. management
Japan,Thailand,43022,Business support services and institutions
Japan,Thailand,231683,Agricultural policy and administrative management
Japan,Thailand,34960,Livestock/veterinary services
Japan,Thailand,15881,Fishing policy and admin. management
Japan,Thailand,149531,Industrial policy and administrative management
Japan,Thailand,203910,Engineering
Japan,Thailand,60897,Mineral/mining policy and administrative management
Japan,Thailand,148302,Tourism policy and admin. management
Japan,Thailand,122329,Environmental policy and admin. mgmt
Japan,Thailand,22034,Urban development and management
Japan,Thailand,30205,Research/scientific institutions
Japan,Thailand,213285,Sectors not specified
Japan,Thailand,23724,Higher education
Japan,Thailand,11248,Health policy and administrative management
Japan,Thailand,148728,Infectious disease control
Japan,Thailand,207740,Water resources protection
Japan,Thailand,1046,River development
Japan,Thailand,90555,River development
Japan,Thailand,29767,Social/welfare services
Japan,Thailand,87101,Social/welfare services
Japan,Thailand,24,Statistical capacity building
Japan,Thailand,1131930,Communications policy and administrative management
Japan,Thailand,876,Financial policy and administrative management
Japan,Thailand,985,Agricultural policy and administrative management
Japan,Thailand,122949,Agricultural land resources
Japan,Thailand,4609,Livestock/veterinary services
Japan,Thailand,3563,Forestry policy and administrative management
Japan,Thailand,936,Forestry policy and administrative management
Japan,Thailand,7345,Forestry policy and administrative management
Japan,Thailand,131120,Forestry policy and administrative management
Japan,Thailand,741342,Agricultural water resources
Japan,Thailand,12817,Industrial policy and administrative management
Japan,Thailand,2104,Environmental policy and admin. mgmt
Japan,Thailand,27311,Biosphere protection
Japan,Thailand,1102698,Sectors not specified
Japan,Thailand,547,Sectors not specified
Japan,Thailand,24186,Financial policy and administrative management
Japan,Thailand,18775,Business support services and institutions
Japan,Thailand,11370,Sectors not specified
Japan,Thailand,158115,Education policy and administrative management
Japan,Thailand,658885,Education policy and administrative management
Japan,Thailand,159331,Education facilities and training
Japan,Thailand,144691,Teacher training
Japan,Thailand,24928,Social/ welfare services
Japan,Thailand,22131,Education policy and administrative management
Japan,Thailand,145639,Social/ welfare services
Japan,Thailand,23858,Environmental education/training
Japan,Thailand,223597,Sectors not specified
Japan,Thailand,1442041,Relief co-ordination; protection and support services
Japan,Thailand,6080,Education facilities and training
Japan,Thailand,6080,Fishery development
Japan,Thailand,51400,Agricultural education/training
Japan,Thailand,26703,Basic health care
Japan,Thailand,55449,Waste management/disposal
Japan,Thailand,234686,Higher education
Japan,Thailand,827,Sectors not specified
Japan,Thailand,912310,Business support services and institutions
Japan,Thailand,182605,Business support services and institutions
Japan,Thailand,69178,Trade policy and admin. management
Japan,Thailand,91041,Economic and development policy/planning
Japan,Thailand,215924,Trade policy and admin. management
Japan,Thailand,690185,Sectors not specified
Japan,Thailand,1471,Economic and development policy/planning
Japan,Thailand,73872,Advanced technical and managerial training
Japan,Thailand,179833,Employment policy and admin. mgmt.
Japan,Thailand,32710,Advanced technical and managerial training
Japan,Thailand,52239,Communications policy and administrative management
Japan,Thailand,49245716,Basic drinking water supply and basic sanitation
Japan,Thailand,4374192,Basic drinking water supply and basic sanitation
Japan,Thailand,17547,Legal and judicial development
Japan,Thailand,7940,Education policy and administrative management
Japan,Thailand,7554362,Higher education
Japan,Thailand,19954,Public finance management
Japan,Thailand,17960,Trade facilitation
Japan,Thailand,727185458,Rail transport
Japan,Thailand,30102616,Rail transport
Japan,Thailand,1934830,Support to local and regional ngos
Japan,Thailand,787267,Support to national ngos
Australia,India,275748,Agricultural research
Australia,South Africa,81488,Agricultural development
Australia,Thailand,68335,Food crop production
Australia,South Africa,5675,"Support to non-governmental organizations and government organizations, purpose unspecified or does not fit under any other applicable codes"
Korea,South Africa,377743,Information and communication technology
Korea,South Africa,286668,Information and communication technology
Korea,South Africa,3313,Information and communication technology (ICT)
Korea,South Africa,21829,Communications policy & admin. mgmt
Australia,India,162134,Agricultural research
Australia,India,25712,Fishery development
Australia,India,16650,Multilateral trade negotiations
Australia,India,140031,Technological research & development
Australia,India,8296,Fishing policy and admin. management
Australia,India,243521,Agricultural research
Korea,Chile,109229,Higher education
Korea,Brazil,13437,Information and communication technology
Korea,Brazil,119655,Information and communication technology
Korea,Brazil,69001,Communications policy and administrative management
Korea,Brazil,22569,Employment policy and admin. mgmt.
Korea,Chile,4479,Information and communication technology
Korea,Chile,3313,Information and communication technology (ICT)
Korea,Chile,6745,Information and communication technology
Korea,Colombia,158318,Communications policy & admin. mgmt
Korea,Colombia,124833,Higher education
Korea,Colombia,103111,Economic and development policy/planning
Korea,Colombia,2425683,Basic health infrastructure
Korea,Colombia,121650,Economic and development policy/planning
Korea,Colombia,333715,Administrative costs
Korea,Colombia,4000,Economic and development policy/planning
Korea,Colombia,36385247,Education facilities and training
Korea,Colombia,12128416,Information and communication technology (ICT)
Korea,Colombia,31340,Information and communication technology
Korea,Colombia,31340,Information and communication technology
Korea,Colombia,99423,Strengthening civil society
Korea,Colombia,31340,Culture and recreation
Korea,Colombia,31340,Culture and recreation
Korea,Colombia,37489,Education facilities and training
Australia,India,52665,Health personnel development
Australia,India,5675,"Agricultural services, purpose"
Australia,India,109437,Agricultural development
Australia,India,54567,"Agricultural services, purpose"
Australia,Chile,34048,Environmental research
Australia,Thailand,113494,Material relief assistance and services
Australia,Thailand,12950,"Agricultural services, purpose"
Korea,Thailand,13882,Early childhood education
Australia,India,23525,Trade policy and administrative management
Korea,India,24621,Sme development
Korea,India,624168,Higher education
Korea,India,50021,Technological research & development
Korea,India,4964,Agricultural education/training
Korea,India,24366,Communications policy & admin. mgmt
Korea,India,1716,Employment policy and admin. mgmt.
Korea,India,43269,Basic life skills for youth & adults
